name,dob,gender,address,aadharNumber,phoneNumber,isTrainPassActive,isBusPassActive,image
Alia Garde,06-08-54,male,"82
Dave Zila, Nangloi Jat 842130",5.93414E+11,1279635705,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Hiran Malhotra,16-11-84,male,"95/906
Mangal Path, Gangtok-979119",8.59963E+11,277656302,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Jivin Konda,29-04-08,female,"35/19
Lanka Marg
Danapur-902891",5.67203E+11,91896904299,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Eva Tailor,05-06-68,female,"H.No. 38
Upadhyay Nagar
Kanpur 509990",4.25426E+11,4868366213,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Parinaaz Bail,05-03-73,female,"85
Kaul Circle
Karimnagar 340726",5.63902E+11,2361920320,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Heer Sule,06-10-86,female,"H.No. 34
Sarma Ganj, Narasaraopet 835444",1.78636E+11,199033243,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Renee Thakkar,02-09-61,female,"H.No. 92
Madan Chowk
Panvel 380491",4.86046E+11,919957359,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Vihaan Bhattacharyya,16-01-69,male,"98/756, Krishnan Road, Bongaigaon-749514",7.8375E+11,7688916923,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Yakshit Dhar,25-10-39,male,"33, Baral Ganj
Anantapuram-578636",1.90264E+11,9197052626,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Lavanya Bali,18-05-66,male,"H.No. 16
Dutt, Gudivada 540437",9.28115E+11,8110617010,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Kimaya Dash,04-12-19,male,"57/488
Walla Circle, Gudivada-795814",6.58214E+11,9168274529,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Heer Cherian,07-08-54,female,"821, Bassi
Bidhannagar-436115",2.9398E+11,2869945055,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Vivaan Bali,21-02-66,male,"40, Edwin Street
Burhanpur 575806",8.50694E+11,9176043183,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Anahi Raman,06-02-48,male,"H.No. 439, Goda Chowk
Tiruvottiyur-294716",4.76493E+11,9.59768E+12,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Mannat Iyengar,23-09-84,male,"H.No. 24, Mani Circle
Darbhanga-356746",1.37438E+11,6.20999E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Aayush Dugar,08-02-79,male,"17/71
Hayre Nagar
Bharatpur-978643",7.41152E+11,56889849896,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Manjari Koshy,10-11-18,male,"97/016
Swaminathan Street, Tadepalligudem-049461",8.5463E+11,1.90762E+12,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Manikya Jhaveri,26-11-09,male,"791
Dasgupta Circle
North Dumdum 931971",3.13389E+11,9166793517,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Shayak Iyer,19-10-43,male,"99
Khalsa Marg, Mira-Bhayandar 320237",8.83985E+11,912729933,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Sana Srinivas,27-02-34,male,"H.No. 94, Ratta, Raipur 701785",1.75354E+11,2.69976E+12,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Tushar Acharya,10-04-13,male,"H.No. 452
Bhatt Marg
Khandwa 993336",6.32629E+11,9138301424,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Aarna Bhakta,30-12-23,female,"955
Kapadia Street, Kharagpur 263841",4.17241E+11,9.13687E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Advika Ramesh,21-06-18,male,"32, Chandran Circle
Meerut-665559",21804193751,9.14706E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Misha Chakraborty,19-11-76,male,"77/65
Upadhyay Circle, Ramgarh-692875",9.66341E+11,9.19611E+11,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Anahita Bhatt,25-09-68,female,"76
Lalla, Danapur-341219",5.51265E+11,9.15927E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Amira Sandhu,19-06-16,female,"43
Swamy Chowk, Haridwar-268280",36635977650,6389791094,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Charvi Mallick,04-07-55,male,"23
Swamy Nagar
Surat 894095",6.62383E+11,919972046,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Shalv Sandal,25-05-19,male,"07/322, Chopra Road, Panipat-115012",9.28034E+11,9439793675,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Vardaniya Khatri,05-08-96,female,"36/666
Bhatia Chowk, Siwan-009436",1.19458E+11,6.81197E+12,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Eshani Raju,08-04-25,male,"H.No. 198
Wable Road, Anantapur 308707",5.52506E+11,54118380943,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Ayesha Venkataraman,28-01-26,female,"27/43
Sani Path, Ambattur 069981",6.03459E+11,78459126600,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Trisha Ranganathan,04-03-10,female,"68/275, Rana Ganj
Deoghar 489879",8.76639E+11,2.91788E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Vritika Datta,07-07-47,male,"16/106, Sundaram Road, Junagadh-720201",2.31931E+11,706977134,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Baiju Ghosh,20-03-15,male,"88/04, Kalla Chowk, Noida-494493",6.25174E+11,4316925542,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Yuvraj  Mani,22-10-38,male,"H.No. 52
Khanna Nagar
Ludhiana-757728",7.64012E+11,88407453904,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Jivika Dewan,08-08-55,female,"H.No. 907
Sahota Circle
Kumbakonam 576813",2.86424E+11,3.25766E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Dhanuk Bose,24-09-50,female,"12/350, Krishnan Marg, Meerut 955420",8.85616E+11,1770810586,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Samiha Kar,24-03-85,female,"62, Acharya Circle
Bhavnagar 573715",5.42079E+11,45416844427,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Umang Bir,21-03-77,female,"016, Rama Road, Raiganj 898782",87591442197,55957647087,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Anahi Char,22-07-94,female,"H.No. 845
Manne Marg
Sagar 697975",7.16414E+11,80407971235,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Alia Dutt,26-04-14,male,"H.No. 651
Sant
Vasai-Virar-356528",9.91976E+11,4757604197,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Aarav Sura,22-01-05,male,"15
Sama Path
Chennai-007135",3.71717E+11,46266184553,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Kartik Hari,28-07-75,male,"846, Behl Street
Nandyal 112355",2.07068E+11,4107870760,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Taimur Shetty,22-09-66,female,"10/91
Dyal Zila
Ramgarh-616772",8.56085E+11,9126556787,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Kaira Dara,23-12-74,female,"07
Vaidya Road, Hapur-447694",4.42618E+11,9.12993E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Dishani Rajagopalan,13-01-84,male,"53/727
Goel Street
Raipur 376224",33760686136,9559226560,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Urvi Sanghvi,26-09-73,male,"152
Ahluwalia Ganj
Machilipatnam-511428",6.92234E+11,914954309,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Tushar Mangat,01-12-49,male,"04/21
Chahal Nagar
Medininagar-295433",1.954E+11,9178339488,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Jiya Kothari,22-02-81,male,"43/48
Sibal Marg, Barasat-996396",7.19989E+11,3.42653E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Nayantara Salvi,01-05-53,female,"17/141, Bir Path
Mehsana-997475",8.81008E+11,9027117119,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Badal Anne,14-06-60,male,"59, Ram Road, Panihati-138284",34670166891,9.10846E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Shamik Chana,26-10-61,female,"H.No. 74, Bal Path, Varanasi 024449",6.02887E+11,9158964170,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Ela Sehgal,10-08-64,male,"77/641, Vala Circle
Sikar-969471",5.73998E+11,739207063,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Yuvraj  Rau,23-07-38,female,"H.No. 994
Shukla Street
Sagar 844814",2.88815E+11,9.40769E+12,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Myra Bali,09-02-77,female,"88, Walia Ganj
Singrauli 320158",9.03808E+11,156714457,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Saanvi Kala,29-03-21,male,"01, Korpal Zila, Medininagar 083392",9.93391E+11,346811067,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Ira Choudhury,30-11-37,male,"H.No. 703, Ravel Marg
Rampur-872191",3.63859E+11,910760100,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Riya Bava,01-03-12,female,"25/232, Dara, North Dumdum 349978",2.0473E+11,61069163805,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Saira Contractor,06-02-82,male,"H.No. 45, Shankar Zila, Chapra 590735",8.62654E+11,37658084,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Darshit Sahota,18-06-81,male,"29, Maharaj, Deoghar 260158",3.85834E+11,2568716641,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Riya Virk,19-05-99,male,"229
Bhasin Path
Ahmednagar 245712",1.34767E+11,8.08273E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Ayesha Bhakta,14-08-39,male,"98/05, Lanka Street
Bathinda-486299",9.45922E+11,7589810212,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Arhaan Mann,11-09-29,male,"H.No. 59, Deshmukh, Guna-841328",497278314,915709081,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Rhea Tata,15-10-88,male,"303
Tata Ganj
Sangli-Miraj & Kupwad 557637",3.79883E+11,9.1662E+11,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Akarsh Barman,29-11-87,female,"25
Din Circle, Durgapur-694498",7.52224E+11,9126711945,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Mehul Gill,25-12-17,female,"75
Bajwa Marg
Madurai-119738",7.78448E+11,50786529764,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Yashvi Saini,12-06-46,female,"05/41
Arya Nagar
Chapra 760279",9.03112E+11,9.44983E+12,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Siya Jhaveri,10-02-05,male,"688
Kashyap Chowk
Chandrapur 795034",2.74309E+11,919855637,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Sana Ramaswamy,10-01-24,female,"H.No. 733
Karnik Road
Ichalkaranji-534841",2.59537E+11,4.10949E+11,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Damini Jhaveri,21-02-31,male,"499, Dixit Ganj
Mathura-697525",9.07012E+11,8976466483,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Baiju Halder,06-04-96,male,"648, D’Alia Zila
Ratlam-619379",2.239E+11,9615936888,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Bhavin Bali,08-12-45,female,"31
Kanda Marg, Bellary 748884",7.71198E+11,3518895697,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Sana Brar,18-03-85,male,"H.No. 025, Gole Road, Cuttack 731767",8.27543E+11,4549086847,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Dharmajan Soni,06-08-23,female,"H.No. 72
Keer Road, Pune 790757",5.35158E+11,47468212668,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Abram Taneja,04-09-88,female,"52/707, Bhandari Circle, Mathura-955322",8.5365E+11,285900027,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Manikya Wason,19-05-23,female,"51/52
Bedi Ganj
Secunderabad-989023",25868215121,860946351,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Mamooty Chadha,16-10-30,female,"603
Choudhry Circle
Dharmavaram 977188",6.99255E+11,8.85669E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Farhan Jain,28-12-80,female,"511
Loyal Nagar, Khandwa 358280",10718866534,8.68465E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Anay Rege,11-08-19,female,"98
De Ganj
Pondicherry 302998",3.92633E+11,9159140472,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Onkar Khosla,24-05-80,male,"H.No. 410
Bhatnagar Zila, Jalna-366306",7.50281E+11,4.61866E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Inaaya  Ramakrishnan,10-08-37,male,"80/10
Swaminathan Nagar
Bhind-096399",2.76359E+11,917827507,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Pihu Subramaniam,23-01-53,female,"H.No. 992
Chowdhury Circle
Bathinda 306964",5.10771E+11,816336287,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Riya Agate,07-04-61,male,"25/80, Bhagat Circle
Munger-729000",7.51456E+11,911619751,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Miraya Kumar,15-09-60,male,"93
Chopra Path, Proddatur 355901",1.30636E+11,4687337298,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Shlok Kapur,13-06-47,male,"92/942
Gulati Circle
Kolhapur 607931",8.84029E+11,917640180,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Vaibhav Saini,04-04-28,female,"H.No. 79
Acharya Chowk, Anantapuram 070374",9.8612E+11,9128647710,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Sara Swaminathan,26-07-00,male,"76/850, Bala Nagar, Orai-223777",54808242570,918616564,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Mannat Guha,13-11-23,male,"H.No. 405
Sant Marg, Kozhikode 443501",8.2367E+11,9107094067,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Raunak Ramanathan,26-06-95,female,"H.No. 404
Bal Marg, Jalandhar 541137",8.62164E+11,913936877,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Amani Buch,04-05-71,male,"714
Sura Marg
Gangtok 338427",5.01784E+11,7.1092E+11,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Pari Arya,30-06-68,male,"88/18
Chokshi, Kavali 271110",3.54395E+11,9.10886E+11,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Yashvi Bhatt,09-11-92,male,"H.No. 95
Ramesh
Silchar-090279",1.46533E+11,3.21176E+12,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Indranil Kale,30-12-52,male,"07/135, Banerjee Path, Malegaon-164896",5.1469E+11,911977445,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Ishita Jha,11-09-84,male,"817, Shan Ganj
Katni 733551",8.634E+11,21945331584,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Yuvraj  Sani,25-02-11,male,"712
Sen Circle, Kozhikode 424387",5.93387E+11,6.46651E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Rati Sankaran,15-10-31,male,"H.No. 534
Bajaj Marg, Thoothukudi 980702",8.58007E+11,4257939142,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Kabir Bedi,08-03-19,female,"H.No. 93, Sant
Siliguri-937983",4.60026E+11,9.10859E+11,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Divit Manne,13-08-11,male,"50, Chand Street
Bidar 218326",4.53606E+11,9.10951E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Pranay Soman,01-06-14,male,"H.No. 50
Loyal Street, Bihar Sharif 688295",90063115614,38108807490,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Seher Borra,24-01-27,male,"38/420, Madan Circle, Katni 344551",3.18177E+11,9.18896E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Jhanvi Behl,03-10-01,male,"H.No. 02, Bahri Nagar, Amroha-326417",1.70943E+11,196082706,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Vanya Mann,20-12-10,female,"H.No. 199, Kant Chowk, Tirunelveli-224038",7.21387E+11,10807520804,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Riya Chana,30-11-87,female,"H.No. 652, Khalsa Street
Indore 661227",7.93171E+11,9024859681,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Zeeshan Varkey,22-09-84,female,"15/60
Khare Circle, Thoothukudi-429290",1.07972E+11,12829092407,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Keya Mani,15-04-67,male,"H.No. 380
Goda, Proddatur-129840",2.94897E+11,2389471261,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Divyansh Chaudhry,02-07-20,female,"H.No. 34
Ram Chowk
Bhiwandi 597164",8.60684E+11,6.72821E+11,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Ivan Garg,30-09-26,male,"18/58, Hans Chowk, Ambarnath 074137",6.85821E+11,918949958,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Zaina Gola,07-11-09,female,"863
Basu Path, Hindupur-897462",3.42955E+11,4496524482,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Anay Manne,22-11-35,female,"H.No. 550, Raj Path, Rampur-363934",5.17163E+11,194987226,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Shaan Handa,09-09-13,male,"73
Konda Marg, Nellore-198574",6.50253E+11,4376563801,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Saksham Sridhar,03-07-09,female,"89/49, Suresh Zila, Bhalswa Jahangir Pur 887843",9.35823E+11,6.36833E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Jayan Sankaran,08-08-25,female,"28/423
Majumdar Street, Gurgaon-666482",6.35734E+11,5.11856E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Romil Raja,05-08-42,female,"H.No. 866
D’Alia Ganj, Medininagar-719163",3.19962E+11,85948754366,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Samiha Rana,07-07-94,male,"337
Batta Path, Bhubaneswar 359222",9.99348E+11,9126288929,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Divij Gaba,08-09-74,male,"479, Gulati Chowk
Gopalpur 922447",5.48936E+11,6.23998E+12,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Neelofar Issac,14-04-88,female,"895
Anne Ganj, Gorakhpur 622800",7.1897E+11,43636757040,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Tejas Trivedi,27-09-23,male,"57/84
Datta Road
Bettiah-315853",8.17614E+11,8411958840,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Ehsaan Dass,17-06-02,male,"75/27
Chopra Street
Mehsana-775908",4.72144E+11,911963638,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Uthkarsh Sandal,29-12-86,male,"35, Keer Nagar, Bidar 748484",1.34468E+11,1.76629E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Akarsh Sekhon,17-12-50,female,"83, Lal Chowk
Bhimavaram-859563",7.64289E+11,3207121252,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Ahana  Sahota,24-02-68,male,"33, Chaudhuri Path, Ghaziabad 024665",9.56906E+11,9.17898E+11,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Kiara Choudhury,28-05-61,female,"714
Sethi Marg, Khandwa 721109",9.25144E+11,1.47923E+11,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Neelofar Sachar,29-12-95,male,"17/417
Konda Path, Dindigul 545104",6.61111E+11,247958210,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Vidur Varghese,08-10-61,male,"77/05, Ramachandran
Jodhpur-696256",1.21526E+11,6.79866E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Vanya Lala,14-11-88,female,"92/048, Mani Path, Hospet-914395",4.55159E+11,8.34573E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Pihu Basu,27-03-56,female,"93
Gill Nagar, Gudivada 589294",6.55265E+11,979854136,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Farhan Som,01-02-09,male,"H.No. 861
Cheema Zila
Chandigarh-664297",7.2984E+11,6.66072E+12,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Rhea Krishnan,10-07-11,female,"H.No. 21, Kothari Road
Anantapur 813906",7.85597E+11,808613490,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Rohan Sidhu,23-04-13,female,"84/799, Mane Nagar
Yamunanagar 019660",8.27432E+11,6329093372,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Dhruv Wadhwa,16-03-41,male,"72/666, Bhargava Chowk, Ranchi-230947",9.09551E+11,1089298202,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Anaya Chandran,31-01-36,female,"H.No. 18, Yohannan Nagar, Bhusawal 755787",8.65657E+11,631656932,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Adira Bora,02-05-61,male,"H.No. 617, Shukla Marg, Proddatur 639784",9.75969E+11,9.12673E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Shlok Sani,27-06-41,male,"75/22
Dara Ganj, Maheshtala-150433",7.12339E+11,3057992407,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Siya Koshy,26-10-06,female,"H.No. 545
Sengupta Ganj
Dewas-073125",6.44712E+11,4.8637E+12,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Rhea Trivedi,05-04-21,male,"H.No. 224, Dora Road, Haldia-297426",8.42102E+11,1870826734,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Dishani Chaudhary,20-03-95,male,"56
Arya Street, Rewa 057725",1.75207E+11,3.44568E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Yuvaan Bhatia,04-05-79,male,"H.No. 62
Jayaraman Circle
Durgapur-177699",3.9011E+11,89559840194,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Samiha Basak,01-07-88,female,"37/239
Jani Path, Bhind-298759",8.57943E+11,911663445,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Samaira Ben,14-10-61,female,"713, Contractor Marg
Srinagar-209241",8.04234E+11,5.4257E+12,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Shaan Mannan,24-06-52,male,"H.No. 53, Garde Ganj, Cuttack 302862",7.45007E+11,3767697426,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Nayantara Upadhyay,19-11-03,female,"H.No. 978
Hayer Circle
Jorhat-216544",6.42183E+11,917926388,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Aarna Sharma,27-11-11,male,"H.No. 57
Korpal, Ongole 324287",30510857532,910642265,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
